11076, 24544, 20954, 3230, -21201, -11926, -3582, -3984, -1011, 384, 4027, 9206, 8726, 11351, 20829, 23423, 22119, 14516, 3666, 426, -1704, -4587, -3910, -1512, 981, -582, -2826, -1920, -920, -1509, -4223, -3984, -1712, -1680, -1680, -1680, -1728, -1696, -1696, -1696, -1728, -1712, -1712, -1712, -1712, -1728, -1728, -1728, -1728, -1712, -1712, -1680, -1712, -1728, -1728, -1696, -1744, -1728, -1712, -1728, -1712, -1680, -1712, -1680, -1749, -497, -19, 28101, -11208, -3589, 1796, -8417, -8019, -1550, -6189, -3454, 7169, 3578, 13869, 6238, 6429, 2728, 2128, -1007, -5292, -1806, 1572, 489, 158, 1599, 1265, -3490, -4713, 1635, 3723, -1822, 31817, 31817, 31817, 6626, 19422, 16410, 114, -1366, 13274, 11370, 6766, 2138, -5706, -11070, -29122, -30346, -27422, -29230, -22950, -13286, -9338, -5490, -3406, -4466, -4686, -4850, -3890, -4126, -3862, -4730, -4266, -2758, -6048, 18980, 32467, 32467, 19648, 156, 3784, 13328, 24088, 26252, 21920, 11044, 11804, 9752, 5344, 12724, 14360, 15820, 16676, 21868, 20972, 16272, 13436, 11436, 10332, 13380, 15652, 17068, 16160, 14676, 16424, 17296, 5528, 480, -14304, -21552, 6508, 11152, 14148, 6768, 2024, 1172, -848, -488, -1828, -4080, -4020, -9140, -12844, -4160, -2328, -3088, -308, -608, -1052, -312, -524, -1108, -3152, -2748, -2180, -780, -996, -1812
-27894, -32558, -19355, 7551, -32558, 15457, 16905, 12564, -22575, -21456, -11870, -3613, -1489, -332, 3066, 11589, 14716, 15557, 25456, 30470, 20923, 15775, 10286, 923, -4230, -2255, -2345, -5915, -6285, -5618, -5579, -6890, -1680, -1728, -1696, -1712, -1696, -1712, -1712, -1680, -1696, -1696, -1696, -1696, -1728, -1680, -1744, -1712, -1712, -1712, -1728, -1728, -1728, -1728, -1696, -1728, -1712, -1744, -1680, -1744, -1696, -1728, -1696, -1696, -19809, -32598, -4689, -2413, 30, 16453, -32598, 13358, 21252, -24167, -5598, 4709, -2676, -5916, 7894, 15486, 12068, 14502, 22081, 4622, -6794, 2290, 290, -3998, -1260, -2133, -8476, -6817, -1589, -2564, -4028, -970, 31818, 31818, -31846, -21474, 3822, 31817, 31817, 7802, 16610, 31817, 25698, 10518, -3282, -5650, -8946, -14550, -17718, -19454, -21794, -28450, -27626, -22634, -19858, -16754, -10566, -6046, -5498, -4718, -3910, -3678, -4206, -3446, 32467, 24796, -112, 6240, -17212, 9908, 32467, 32467, 32467, 5544, -36, 6396, 10720, 4916, 1572, 6240, 13484, 11912, 18536, 28508, 19160, 14628, 15844, 14172, 13320, 16260, 16040, 11992, 13792, 16620, 13728, 14156, -6320, 680, -7704, 5320, -10016, 7288, 16848, -32768, 9596, -932, 9616, 7536, 9732, 9412, 5888, 3464, 2604, -1996, -9776, -8436, -6896, -5332, -3292, -528, -1052, -2492, -1572, -1664, -2064, -1472, -680, -372
-5939, 7638, 8294, 7359, -3328, -8504, -2634, 1888, -1496, 1000, 4190, 5369, 4244, 5953, 10607, 13650, 20380, 16970, 6508, -2312, -4278, -4578, -4092, -2037, -2059, -2153, -1395, -1177, -2153, -3067, -3454, -3201, -1712, -1712, -1680, -1744, -1712, -1712, -1712, -1712, -1712, -1744, -1696, -1728, -1728, -1728, -1728, -1728, -1696, -1728, -1696, -1680, -1744, -1712, -1712, -1712, -1744, -1728, -1696, -1728, -1728, -1696, -1760, -1728, 8351, -13492, -13609, 4708, 7235, 519, 3000, 311, -1373, 1553, -2742, 56, 9183, 6925, 5095, 13142, 6356, 693, 1852, 885, 1001, 1598, -3243, -4408, -443, -1916, -5012, -4169, -1465, -2398, -4212, -3780, 25866, 31817, 31817, 31817, 21242, 22654, 22694, 15390, 10218, 4838, -458, -4030, -7754, -7210, -12814, -17786, -23530, -28214, -22622, -12698, -4142, 2450, 5458, 4602, 2234, 1334, -2, -738, -750, 362, 890, 718, -14112, 32460, 32467, 31676, 22080, 10568, 13800, 17904, 11960, 12544, 12984, 11192, 15068, 19268, 18076, 20456, 22272, 17724, 18012, 18816, 17700, 19264, 18408, 15228, 15748, 16116, 15768, 15820, 16852, 17272, 16620, 15184, -2836, 848, -7284, -14540, -5144, 1000, 5312, 7596, 4048, 4104, 3856, -520, -772, 408, 408, -4524, -3976, -5804, -4728, -1956, 1216, 640, 1284, 892, 568, -208, -396, -456, -36, -128, 196, 412
-29689, -32558, -13333, -6423, -9366, -32559, 22772, -23657, -32558, -11751, -7428, -7071, -4211, -5053, -1977, 2785, 6454, 4932, 7138, 15773, 21738, 19145, 12730, 10272, 9844, 4765, -1712, -3685, -3103, -3868, -4759, -5171, -1728, -1728, -1696, -1728, -1728, -1728, -1696, -1728, -1744, -1744, -1744, -1712, -1712, -1744, -1776, -1712, -1728, -1728, -1696, -1728, -1728, -1760, -1728, -1696, -1744, -1728, -1712, -1728, -1744, -1744, -1712, -1744, -14661, -32598, 7048, -4306, -8559, -21739, -32207, -32599, -14059, -1627, 14302, -3460, -10236, -5747, -4129, 7063, 11741, 5607, 7678, 20746, 21247, -2740, -2307, 13127, 940, -14148, -7181, 1265, -4854, -10230, -9287, -4423, 31818, 31818, -18806, 31818, 31817, 31817, 31817, -11898, 31817, 13834, 6226, 8262, 12202, 6386, 3674, -3170, -9618, -12914, -13722, -14494, -14402, -16086, -19334, -18986, -15382, -12402, -7942, -4378, -990, 474, 1418, 1534, 32467, 22128, -26356, -25696, 32468, 32467, 32467, 13136, -15460, -18860, 3776, 18020, 19680, 18600, 16264, 8444, 12964, 13064, 13272, 12132, 22904, 29004, 17616, 18912, 25876, 19784, 13644, 14904, 17896, 16308, 15748, 14624, -2332, 5536, -14284, 19812, -16840, 10956, -32768, 19648, 12848, 19428, 12080, 988, 2280, 6020, 6072, 3480, 3204, 3472, 2780, 1092, -104, -1384, -1684, -1096, -768, 400, 568, 524, 680, 1240, 656, 544
15625, 11176, 3851, -6170, -9397, -2712, -3228, 3483, 9720, 17025, 14455, 8381, 8469, 10970, -7262, -6519, -7298, -6125, -4780, -3907, -814, 1186, -134, -733, 1035, 893, -304, -407, -1893, -2633, -1728, -1728, -1728, -1696, -1728, -1760, -1728, -1728, -1728, -1728, -1728, -1728, -1760, -1760, -1744, -1712, -1744, -1744, -1744, -1744, -1744, -1744, -1728, -1728, -1760, -1760, -1728, -1728, -1728, -1728, 20672, -3875, -6192, 471, -2604, -598, 4678, 733, -3792, 8601, 10204, -41, -4804, 5684, -1291, -2452, -2494, -4126, -7540, -4612, 698, 1251, -2982, -4214, -1984, -272, 560, 136, -547, -1680, 31817, 31817, 31817, 31817, 31817, 30878, 10894, -158, -10838, -23058, 31818, 31818, -30558, -21994, -1694, -838, 46, 882, -14, 226, -418, -1562, -1574, -1566, -1594, -1898, -1650, -1962, -2250, -2002, 6000, 16816, 32467, 22516, 26856, 24528, 22764, 22684, 14044, 10800, 14640, 14872, 8060, 13996, 18628, 18740, 15772, 15604, 16116, 14392, 13592, 16332, 17848, 15368, 15280, 15208, 15852, 15756, 15900, 15460, -1080, -12652, -14536, -6244, -3040, -784, 4684, 6324, 3168, -4720, -7152, -3820, -2680, -1376, 932, 1632, 1060, 552, 1372, 984, -240, 376, 1128, 16, -152, 1336, 844, 868, 1272, 1096, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17030, 7853, -469, 2357, 2789, -3188, -13678, -9312, -3517, 20475, 10734, 21522, -14859, -11293, 3692, 13186, 179, -12280, -11409, -3354, 322, -578, -828, 6460, 17021, 17970, 10215, 7907, 11239, 11250, -1760, -1744, -1744, -1728, -1760, -1760, -1728, -1760, -1760, -1760, -1744, -1744, -1776, -1744, -1712, -1744, -1744, -1744, -1744, -1760, -1760, -1728, -1728, -1728, -1728, -1760, -1712, -1760, -1744, -1744, 6819, 11174, -2812, 2971, 1901, 2036, 1420, -825, 4560, 7657, -32219, 32764, -31545, -13618, 10636, 11719, 2383, 2500, -3554, -11668, 4629, 7002, 436, 2763, 7266, 9637, 9827, 4226, -1552, 91, 27206, 31817, 15750, -24686, 31818, 31818, 31818, -29706, 3878, 31817, 31817, -4822, 6254, 13482, 10146, 13910, 15550, 20542, 22474, 9738, -2042, -6790, -12106, -15178, -18066, -21118, -21030, -17666, -16450, -15070, 32467, 32467, 20916, 10912, 12488, 8936, 940, -2360, -9288, 13788, 32467, 15624, 29248, -15064, -912, 22020, 25016, 19908, 20196, 13528, 10964, 14720, 14196, 12300, 11404, 16304, 19660, 20192, 17560, 14896, -5764, -6892, -628, 3852, 3244, 7564, 6236, -1544, 600, 12392, 1060, -26968, 2832, 17260, 12312, 176, 4076, 3676, 2552, 1340, 1448, 5084, 3368, -1388, -3892, -1776, 1128, -1184, -3032, -1988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-32558, -32558, 4318, 25322, -4997, 20364, 15363, 7950, -16130, -14886, -9429, -6780, -2519, -544, -4328, -9515, -8250, -1631, 2862, 4560, 8777, 16269, 17553, 14949, 12514, 8180, 3039, -478, -2447, -2925, -1534, -362, -1728, -1728, -1728, -1760, -1760, -1760, -1728, -1776, -1728, -1744, -1744, -1712, -1744, -1744, -1744, -1744, -1728, -1760, -1728, -1728, -1728, -1728, -1696, -1728, -1760, -1760, -1728, -1760, -1728, -1760, -1760, -1760, -13454, -32598, -6568, 23423, 6363, 22554, 3794, 26769, 189, -4848, -5514, -418, 532, -6140, -8003, -6464, -1507, -377, 442, 3462, 6609, 10182, 18484, 7871, -8708, -1563, 4967, 2000, -4286, -5379, -2477, -130, 31818, 31818, -24898, -26058, 31358, 31817, 29202, 6138, 8130, 7390, -338, 2274, 4066, 9726, 12294, 12762, 11366, 5030, -806, -9322, -10954, -13374, -22138, -20126, -19838, -18166, -15294, -10590, -7102, -4050, -1006, -398, 29640, 24384, -5172, -9300, 8020, 32467, 32467, 11932, 13904, 9320, 10004, 16200, 19056, 22012, 20304, 18024, 14040, 14724, 13812, 12996, 11040, 13660, 14932, 21484, 20672, 15516, 14788, 17300, 16180, 13340, 14832, 15908, 22344, 10192, -9268, 6896, 356, 4544, -12572, -2408, 5392, 4916, 6388, 5452, 2816, 2428, 4520, 4284, 1812, 692, 2164, 1436, -2008, -3848, -3164, -2808, -1616, -640, 732, 1984, 2252, 1588, 180, 376
27227, 22034, 22489, 15684, 11202, -11212, -14914, -8482, -4078, -4498, -3904, -2402, -787, 351, -51, -6147, -9497, -3232, 7461, 19497, 29674, 26279, 13702, 2553, -3534, -2613, 395, 347, -2547, -2975, -568, 2162, -1760, -1744, -1712, -1744, -1744, -1744, -1744, -1728, -1728, -1728, -1728, -1760, -1728, -1760, -1728, -1760, -1760, -1760, -1792, -1760, -1728, -1760, -1760, -1728, -1760, -1792, -1792, -1760, -1792, -1760, -1760, -1760, 11367, 24183, -18698, 11579, 14121, 6526, -14906, -10516, -2611, -2331, -3120, -2423, 3640, 4500, -5013, 355, 8613, 8536, 8669, 17308, 22539, 11091, -1526, -1103, -1539, -4737, -4191, -3243, -4573, -5721, -4212, -392, 9478, 31817, 31817, 31817, 11162, -3030, 4386, 2922, 2426, 3222, 5774, 11782, 14242, 13154, 8694, 1962, -3518, -8026, -14930, -19190, -22718, -24862, -23538, -20190, -14530, -7682, -3614, -986, 198, 958, 22, -1066, 5248, 29628, 32467, 27724, 26632, 17044, 7896, 8264, 14852, 11984, 15596, 16960, 18336, 18988, 18460, 14140, 14984, 18476, 14364, 14068, 19620, 25520, 20956, 17720, 16096, 14372, 13832, 17296, 18368, 16772, 14616, 15560, 5368, 1504, -1100, -8784, -10200, -460, 4628, 7996, 5128, 2288, 2760, 1236, -684, -1168, -736, 3036, 888, -1424, -2324, -4240, -4432, -4, 1916, 2500, 2632, -332, -2180, -664, -348, -336, -120, 800
8880, 6326, 20586, 6472, -19865, -18190, -4035, 1746, -1292, -3016, -2466, -356, 162, -1092, -1520, 416, -2589, -6738, -3291, -700, -557, 8386, 24786, 24147, 15540, 15635, 10174, -80, -2473, 650, -1272, -4757, -1760, -1744, -1776, -1728, -1760, -1760, -1728, -1760, -1760, -1760, -1792, -1760, -1760, -1792, -1760, -1712, -1760, -1760, -1760, -1728, -1728, -1760, -1728, -1728, -1760, -1744, -1776, -1744, -1744, -1776, -1744, -1808, 811, 4504, -16647, -7470, 32765, -24618, 1286, 10140, -682, -5528, 2497, 2140, -577, 3487, 320, -4047, 6570, 7172, -4464, 4056, 16184, 9195, 6298, 15036, 11191, -4020, -3533, 7223, 3908, -8003, -5684, 1921, 18754, 31817, 31817, 31817, -11734, 21294, 2598, -734, 2798, 4234, 5354, 8306, 10782, 16322, 19526, 23362, 17754, 10602, 6166, -346, -6758, -7390, -13254, -19278, -15030, -15238, -14874, -8966, -1750, 2662, 2618, 3790, -3368, -27652, 9480, 32467, 25756, -14112, -4132, 17480, 17812, 13316, 11256, 13152, 15320, 12612, 16668, 16364, 12184, 17152, 15660, 17040, 18036, 19480, 19816, 21816, 26900, 22220, 18200, 15200, 17204, 18124, 14388, 16128, 4036, 2976, 10456, -16968, -4900, 13352, 16664, 4664, -972, 2440, 2484, -1104, -352, -1172, -1584, -1672, 2280, 2004, 96, 2844, 416, -5184, -9944, -6140, -8028, -6700, -364, 2188, -200, -584, 364, -292
21121, 5823, 4250, -16543, -6478, 751, -126, -1505, -858, -920, -1392, -2044, -5650, -4558, -3271, -3357, -119, 3375, 2659, -2615, 8679, 16418, 3885, 13144, 2286, -8026, -5228, -852, -2798, -3443, 261, -1895, -1728, -1760, -1760, -1760, -1760, -1760, -1728, -1760, -1728, -1760, -1760, -1712, -1744, -1744, -1744, -1808, -1744, -1744, -1744, -1744, -1744, -1744, -1744, -1776, -1744, -1776, -1744, -1776, -1744, -1776, -1744, -1744, 24850, -32598, 17729, -13338, -15447, 3874, -512, -7185, -2557, 1725, -5255, -1745, 3478, -7398, -8211, -992, -3859, -8217, -3612, 10910, 14771, 3514, 19212, 7139, -459, 5048, -425, -2179, 1464, 1692, -804, -2376, 31817, 31817, 16786, -802, 7342, 7918, 8642, 7946, 9394, 7978, 8934, 11458, 12302, 13946, 17574, 16294, 12066, 9102, 4170, -838, -1562, -13294, -26998, -22342, -27874, -16742, -5838, 822, 3726, 5238, 4982, 2218, -648, 32467, 10680, 20956, -92, 11224, 18716, 14180, 12588, 17072, 18508, 13412, 16352, 19596, 16744, 14808, 16036, 15836, 13340, 13536, 24348, 13000, 19568, 24940, 14200, 18308, 16728, 16024, 18612, 17976, 15040, 15996, -2616, -476, -20848, 3504, 10396, 7776, 1296, 4712, 2892, 1408, 2756, 3516, 2220, 228, 1128, 344, 192, -832, -476, -816, -4652, -704, -4780, -344, 6092, 4552, 2412, 2080, 1300, -168, 196, 2856
