-14021,-2832,-32598,31817,32467,-27464
-3939,-2832,-32598,31817,32467,-23276
-29155,-2880,-32598,31817,32467,-27380
-13912,-2848,-32598,31817,17016,-32768
8374,-2864,-32598,31817,-16416,-32768
8396,-2864,-27452,31817,-22256,-25696
-821,-2848,-32598,24694,-21204,-22756
-399,-2848,-32598,10882,-28052,-8960
-933,-2864,-2407,4974,-23768,2320
-513,-2880,7293,7474,-22172,-476
4149,-2880,15039,5002,-16552,952
10053,-2864,22287,5962,-10464,-744
13596,-2832,28606,7462,-2324,-484
10466,-2848,26515,8098,10344,1236
-4077,-2848,24936,9550,18096,4436
4759,-2864,-32599,22786,27688,-4072
9448,-2848,-32599,15502,29116,4124
8386,-2848,18202,18434,31260,1804
3777,-2896,5073,14894,20868,3924
6633,-2864,15664,18190,14696,-1252
9244,-2848,27583,19738,18792,-564
3056,-2896,8511,19066,25000,2536
-5335,-2832,-6154,18178,17008,1016
-9539,-2880,3037,18718,11688,1220
-10766,-2832,13350,18866,10596,-384
-5894,-2832,13238,17346,13200,-2756
263,-2848,2887,15290,11992,-2264
3147,-2864,-3615,14946,8984,-900
2430,-2848,-2554,14326,5720,1308
517,-2848,3991,13518,4604,1040
257,-2848,10623,14054,7988,648
900,-2832,4638,14430,7932,-388
1
-11798,-2864,-32598,31817,32467,-15980
-32558,-2848,-32598,31817,32467,-32768
-26771,-2832,-32598,31817,32467,-32768
-5023,-2832,-32598,31817,-20232,-32768
4584,-2880,-32598,31817,-28904,-32768
5844,-2864,-29861,22842,32468,-17036
-6447,-2816,-32598,2030,-29016,-1840
-13156,-2848,3052,-6386,-17012,4144
-6307,-2832,-2667,978,-2872,4672
486,-2864,9470,-2122,3340,11148
7225,-2880,18916,-2778,5552,10188
6698,-2864,4462,-3362,3276,9084
6763,-2864,12320,-2830,-1848,6972
6511,-2848,16751,-1350,-1616,4708
5423,-2864,16199,1402,-20,3248
-1254,-2864,18897,3930,7328,6352
-10805,-2848,21461,7014,15792,6944
-6708,-2864,13349,10826,20468,3556
-4743,-2880,10489,10726,12644,9204
-1585,-2880,-32599,14982,23348,7436
-5673,-2880,14604,14282,29460,5688
-3139,-2864,-5245,16102,17576,664
1598,-2848,12610,16602,10824,2872
1018,-2880,29040,17942,19736,4780
-1371,-2864,16224,18602,20100,1544
175,-2880,12424,17726,16820,-252
1624,-2848,13508,16550,14164,732
-71,-2864,11777,15990,13312,1112
-1511,-2848,9564,15258,12840,480
-923,-2848,8379,15170,11476,-540
220,-2896,7490,15022,10180,-472
599,-2864,6409,14870,9940,28
1
-29214,-2848,-32598,31817,32467,-32768
-32558,-2864,-32598,31817,32467,-32768
-26806,-2864,-32598,31817,21484,-32768
4847,-2880,-32598,31817,-5712,-32768
909,-2880,-32598,31817,32468,-28348
-3943,-2864,-32598,24894,-24392,-25648
1571,-2880,-32598,15318,32468,-8344
-2009,-2880,-9644,5442,-28004,4712
2679,-2864,9932,1126,-14032,4164
7968,-2896,10722,2,-1464,7452
7352,-2880,5075,-3286,428,13864
6409,-2864,14491,30,688,8012
7055,-2864,21489,430,-1476,4252
9262,-2880,19201,2658,2680,796
3484,-2928,10740,4898,-696,2368
-5537,-2848,16538,9734,324,756
-14366,-2912,31552,15222,11532,5132
